Metric,Linear Regression,Ridge Regression
Mean Squared Error (MSE),4.638813888593241,4.638936203034925
R-Squared (R²),0.8714715647718118,0.8714681757839857
Mean Absolute Error (MAE),1.5001670130700706,1.5002892257318357
